Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1717351386550,1,24.391957125230228,32.9,-176.20173106809057,-0.3524034621361811,500,
1717352391784,2,30.95699279579663,44.2,-321.87461069092524,-0.6437492213818504,500,
1717353396958,3,34.62460609977221,39.8,-206.4363088567774,-0.4128726177135548,500,
1717353955849,4,34.53858707785686,25.6,-171.39089874592352,-0.616514024265912,278,
1717354960823,5,41.70815415400699,36.0,-274.6313477276967,-0.5492626954553934,500,
1717366031736,7,22.058411235579968,35.2,-225.42724082652177,-0.45085448165304354,500,
1717367036838,8,34.19780983548506,28.2,-264.5751218181444,-0.5291502436362888,500,
1717368042069,9,37.95430657518611,31.7,-246.14812119788056,-0.4922962423957611,500,
1717369047409,10,39.47257103518059,28.8,-320.05882276568894,-0.6401176455313778,500,
1717370052590,11,39.750730940161446,31.0,-282.1311114237351,-0.5642622228474702,500,
1717381124692,13,27.7025990331957,37.8,-176.1296214405902,-0.3522592428811804,500,
1717382129881,14,35.847886537100564,42.4,-284.5171911618177,-0.5690343823236355,500,
1717383136627,15,32.97061769468793,25.4,-260.0175511927132,-0.5200351023854264,500,
1717384141938,16,33.71322367379311,28.5,-203.43682366095376,-0.4068736473219075,500,
1717385147357,17,33.76284331043162,44.4,-302.6180239622532,-0.6052360479245064,500,
1717396219592,19,23.262113154156317,33.2,-195.1329119858756,-0.3902658239717512,500,
1717397224661,20,30.05299903569581,41.2,-275.7464833562489,-0.5514929667124978,500,
1717398230045,21,33.48865480963193,42.7,-273.20258157741193,-0.5464051631548239,500,
1717399235338,22,34.11512236980792,40.8,-248.0797353176869,-0.4961594706353738,500,
1717400240514,23,33.157834544787505,38.3,-187.82112077331482,-0.3756422415466296,500,
1717411312431,25,27.961582682679364,37.4,-272.6864845134089,-0.5453729690268179,500,
1717412317616,26,28.528732458810495,37.7,-274.0595447017741,-0.5481190894035481,500,
1717413323011,27,28.934263294443383,36.1,-250.97770554197163,-0.5019554110839433,500,
1717414328218,28,28.378486218262054,34.3,-226.7269880819409,-0.4534539761638818,500,
1717415333534,29,28.049811037694212,34.2,-221.13206386040233,-0.44226412772080465,500,
1717426406404,31,26.385933159805052,38.2,-305.7229727750135,-0.611445945550027,500,
1717427411534,32,28.238546429955015,42.0,-354.95498493041214,-0.7099099698608243,500,
1717428416925,33,30.898672336895338,43.5,-355.7632111738184,-0.7115264223476367,500,
1717429421997,34,30.479312307144,25.3,-167.19683841848882,-0.3343936768369776,500,
1717430427102,35,27.895288511582457,42.0,-369.09869898908937,-0.7381973979781787,500,
1717441633573,37,26.89093967538195,36.3,-213.67250341651012,-0.42734500683302024,500,
1717442638841,38,32.975257141954096,26.0,-210.66998413942588,-0.4213399682788518,500,
1717443643878,39,30.4080594718639,39.7,-243.20474782779047,-0.48640949565558095,500,
1717444649199,40,34.09931428868387,28.8,-170.1394010367127,-0.3402788020734254,500,
1717445654239,41,32.11439565375957,38.7,-211.2792112588015,-0.422558422517603,500,
1717456726060,43,25.512108752420527,35.0,-245.56177347820773,-0.49112354695641547,500,
1717457731333,44,28.166876309094704,36.8,-255.5212109683454,-0.5110424219366908,500,
1717458736432,45,29.315713626250222,36.5,-250.3603462964842,-0.5007206925929684,500,
1717459741595,46,28.80546042637875,42.5,-309.4227421341698,-0.6188454842683396,500,
1717460746854,47,32.771773481614495,25.2,-249.86207183639547,-0.49972414367279094,500,
1717471820544,49,24.96305867052302,32.1,-251.43083487595064,-0.5028616697519013,500,
1717472825753,50,24.030443706613234,32.6,-271.58643436960267,-0.5431728687392053,500,
1717473830957,51,24.095684787174164,35.2,-318.0572860606121,-0.6361145721212242,500,
1717474836169,52,24.330180050501298,36.2,-338.2862163599401,-0.6765724327198802,500,
1717475841329,53,24.154016586552125,31.1,-233.83795890574308,-0.46767591781148615,500,
1717486913991,55,28.826873969483792,37.0,-136.33962320077998,-0.27267924640155994,500,185
1717487919026,56,38.24826263777931,44.0,-130.55719207390752,-0.261114384147815,500,230
1717488924236,57,46.139396799843915,39.7,-145.46016256257778,-0.29092032512515553,500,
1717489929416,58,41.2282646854419,34.8,-135.34000202162872,-0.2706800040432574,500,143
1717490630938,59,35.99048080712415,44.1,-81.35382088363964,-0.2331055039645835,349,300
1717501704074,61,30.343886758460265,25.3,-179.79758515101116,-0.3595951703020223,500,
1717502709198,62,28.436499531427756,36.4,-195.45286880803985,-0.3909057376160797,500,
1717503714484,63,33.76882474047987,26.5,-173.247857528639,-0.346495715057278,500,
1717504719596,64,28.832102482876973,36.6,-196.30276125378737,-0.39260552250757474,500,
1717505724916,65,33.16640215448936,25.2,-206.9877773133617,-0.4139755546267234,500,
1717516796789,67,32.171060965405715,25.4,-209.67470571048904,-0.4193494114209781,500,
1717517802055,68,29.355198946375694,40.6,-173.00073242041555,-0.3460014648408311,500,260
1717518807317,69,45.76773386050749,38.5,-149.08870023283012,-0.2981774004656602,500,425
1717519812417,70,40.00951358252308,26.6,-244.5186411901013,-0.4890372823802026,500,
1717520817673,71,31.247436484657946,25.7,-186.13736872117303,-0.37227473744234607,500,
1717531889494,73,27.70624436512971,33.4,-177.23245629506698,-0.35446491259013396,500,
1717532894792,74,29.71550504284058,39.3,-236.33757411762303,-0.4726751482352461,500,
1717533899776,75,33.21301184049315,26.0,-261.76392327684266,-0.5235278465536853,500,
