Episode Time,Episode,Initial Temp,Target Temp,Total Reward,Mean Reward per Step,Total Steps,First Within Target Step
1722043604518,1,23.78073663096212,31.1,-185.18393231733964,-0.3703678646346793,500,
1722044611488,2,26.722492908959772,32.5,-195.24722466609288,-0.39049444933218574,500,
1722045618283,3,26.633271069496196,41.1,-492.9222060933583,-0.9858444121867166,500,
1722046625165,4,26.04655698162434,35.3,-285.70470461086643,-0.5714094092217329,500,
1722047631789,5,27.460863124792596,35.7,-251.3089170807595,-0.502617834161519,500,
1722047937847,6,28.748820105460652,43.2,-151.322746998098,-0.9955443881453817,152,
1722048944725,7,27.690377944639604,35.0,-238.57544043057905,-0.4771508808611581,500,
1722049951042,8,28.284827309411554,34.2,-160.49396254903542,-0.32098792509807084,500,
1722050957742,9,29.898362567245204,38.2,-334.5717763669262,-0.6691435527338524,500,
1722051964244,10,26.955444168935365,33.6,-174.3300962298181,-0.3486601924596362,500,
1722057996960,11,29.692698781588973,39.6,-350.75437366038904,-0.7015087473207781,500,
1722059003563,12,30.067445193678108,25.0,-130.15704608539494,-0.2603140921707899,500,
1722060010408,13,27.45179235119825,38.8,-333.42589489702834,-0.6668517897940567,500,
1722061017197,14,29.60443230705054,39.8,-346.9950275066638,-0.6939900550133276,500,
1722062023960,15,28.835040691300524,34.0,-201.0454112885328,-0.4020908225770656,500,
1722063030620,16,26.76442919997654,37.3,-333.05195261872143,-0.6661039052374429,500,
1722064037389,17,27.502182784506747,39.0,-361.3356622872222,-0.7226713245744444,500,
1722065044387,18,28.46035518540553,36.5,-307.96878577370245,-0.6159375715474049,500,
1722066050861,19,26.470210219565573,32.7,-217.01750113140002,-0.43403500226280006,500,
1722067057779,20,26.15627035640778,36.7,-363.7834809845621,-0.7275669619691242,500,
1722073090309,21,24.926273586844346,39.1,-444.0738965776745,-0.888147793155349,500,
1722074097346,22,28.452168752749785,42.4,-392.1795991985012,-0.7843591983970024,500,
1722075104182,23,31.992493582107244,38.0,-254.34169064331715,-0.5086833812866343,500,
1722076110975,24,29.856848065872043,43.4,-417.87324053353115,-0.8357464810670623,500,
1722077117532,25,31.20102188553536,25.1,-195.92208438485136,-0.39184416876970274,500,
1722078123945,26,29.36128211701761,35.2,-224.20139311098364,-0.4484027862219673,500,
1722079130630,27,28.286110036716323,39.1,-380.257680607569,-0.760515361215138,500,
1722080137442,28,27.907938301370663,35.1,-230.7392757442797,-0.4614785514885594,500,
1722081144433,29,27.86963469097287,37.3,-295.65190042044975,-0.5913038008408995,500,
1722082151281,30,28.021815131190777,39.2,-343.00223376694436,-0.6860044675338887,500,
1722088184468,31,28.445289237144465,37.0,-231.03828671496507,-0.46207657342993014,500,
1722089191378,32,32.270393573214804,42.2,-423.55122441142225,-0.8471024488228445,500,
1722090198385,33,27.44379667076632,33.5,-203.31352757292646,-0.4066270551458529,500,
1722091205325,34,26.936008283300986,37.2,-357.4530107866342,-0.7149060215732684,500,
1722092212081,35,25.887041312013118,36.2,-356.778051631476,-0.7135561032629519,500,
1722092991438,36,25.517674461200777,39.6,-382.24513503559297,-0.9877135272237544,387,
1722093998063,37,24.24692381807615,30.1,-140.042125369268,-0.280084250738536,500,
1722095004832,38,26.89950764961751,35.6,-305.244580326415,-0.61048916065283,500,
1722096011354,39,25.914945449533924,38.1,-427.3638428686872,-0.8547276857373743,500,
1722097018144,40,24.844684120409376,35.3,-363.08004117721333,-0.7261600823544266,500,
1722102459994,41,24.65218830562134,33.9,-343.49670893643366,-0.6869934178728673,500,
1722103466757,42,50.321081698585274,35.7,-185.28871812607022,-0.37057743625214046,500,313
1722104473419,43,30.060625329835666,25.0,-118.65075741188114,-0.2373015148237623,500,
1722105479974,44,27.242246776400364,39.8,-330.0711233500013,-0.6601422467000027,500,
1722106486797,45,32.11102035657418,37.7,-278.454285246948,-0.5569085704938961,500,
1722107493472,46,28.436209578651585,40.3,-349.17699529328183,-0.6983539905865637,500,
1722108500080,47,29.714668622416,43.0,-401.6427764936838,-0.8032855529873676,500,
1722109506751,48,30.970522543666625,36.4,-261.34650332266756,-0.5226930066453351,500,
1722110513230,49,27.14572858802959,32.6,-193.158705604485,-0.38631741120897,500,
1722111520059,50,26.702513925309564,36.2,-295.2930916153969,-0.5905861832307938,500,
1722117552609,51,27.659959409694867,32.9,-199.66464333761562,-0.3993292866752312,500,
1722118559611,52,26.45389888342241,32.2,-203.27404332659103,-0.40654808665318204,500,
1722119566420,53,26.042911385358593,36.9,-395.78118467896684,-0.7915623693579337,500,
1722120009355,54,24.247688546338964,39.0,-219.81037057659438,-0.999138048075429,220,
1722121016163,55,23.689237823182168,32.7,-311.3037866426053,-0.6226075732852107,500,
1722122023219,56,23.237957137928163,30.0,-223.05602362904176,-0.4461120472580835,500,
1722123029965,57,23.799525200347823,35.2,-390.7859285027446,-0.7815718570054891,500,
1722124036908,58,23.69855937923815,29.0,-145.1644134762193,-0.2903288269524386,500,
1722125043897,59,24.676288417269923,36.3,-413.86931724601567,-0.8277386344920313,500,
1722126050854,60,23.411407422823977,32.6,-314.7129622799728,-0.6294259245599456,500,
1722127057260,61,23.841481608149678,33.0,-318.15433279844376,-0.6363086655968875,500,
1722133091475,62,23.560022342765627,37.5,-364.268091412416,-0.728536182824832,500,
1722134098557,63,28.339651692555343,37.3,-279.3839290089606,-0.5587678580179212,500,
1722135105313,64,28.74376514439372,43.4,-405.62458816442427,-0.8112491763288485,500,
1722136112426,65,31.627133659778046,41.3,-374.8182938141238,-0.7496365876282476,500,
1722137119243,66,28.375095361697735,41.6,-409.11979217529904,-0.8182395843505981,500,
1722138125905,67,28.724344944188974,42.0,-453.81971344797375,-0.9076394268959475,500,
1722139132313,68,28.984524907277084,41.2,-449.3658468996198,-0.8987316937992396,500,
1722140138921,69,26.893327659557556,35.8,-332.29025648475846,-0.6645805129695169,500,
1722141145837,70,24.657692588148628,29.9,-153.60750256920693,-0.3072150051384139,500,
1722142152200,71,26.019699367807004,36.7,-401.2343454499461,-0.8024686908998921,500,
1722148184359,72,23.45584397250918,36.2,-289.7225151613634,-0.5794450303227268,500,247
1722149088578,73,29.513956107412362,41.7,-409.63651589715914,-0.912330770372292,449,
1722150095409,74,26.074195632993284,36.4,-375.9662591752153,-0.7519325183504306,500,
1722151102071,75,24.589901634651213,33.3,-310.0710760669257,-0.6201421521338514,500,
1722152108885,76,23.99176833078618,36.1,-416.5129897586529,-0.8330259795173058,500,
1722153115704,77,23.576786419504344,28.8,-151.12358464018664,-0.30224716928037326,500,
1722154122700,78,25.687695190212565,37.9,-444.8870702594746,-0.8897741405189492,500,
1722155129548,79,23.794410364388895,30.4,-210.58316633749394,-0.4211663326749879,500,
1722156136154,80,25.318714536006137,33.6,-294.83451862080034,-0.5896690372416007,500,
1722157143028,81,24.380602946495923,36.0,-398.1025223244322,-0.7962050446488643,500,
